montecarlo,364a1d16edc020,"sozo2 (43,100) 53.0","NoName (35,200) 15.0","HANAKUSO (13,100) -27.0","unco2017 (8,600) -41.0"
montecarlo,364a1b6e85cc9e,"せんり (39,200) 49.0","NoName (26,200) 6.0","makalon (25,700) -14.0","宮ちゃん (8,900) -41.0"
montecarlo,364a1f1f2db99e,"新潟県警 (49,000) 59.0","Kyons (22,700) 3.0","NoName (17,300) -23.0","ちもっ (11,000) -39.0"
montecarlo,364a1fa8b5e272,"dwmy (31,100) 40.0","ファンキー邪愚羅 (29,700) 10.0","zyunchan (23,500) -16.0","NoName (15,700) -34.0"
shantenMCS,364a21bd4a3132,"marchant (41,900) 52.0","quu123 (22,100) 2.0","えるもーそ (21,800) -18.0","NoName (14,200) -36.0"
shantenMCS,364a21cfee1dfc,"滅昇竜 (40,500) 50.0","彩星 (24,600) 5.0","NoName (20,500) -19.0","daishari (14,400) -36.0"
shantenMCS,364a21dd2f089e,"キャメロン (47,800) 57.0","pocari (41,000) 21.0","ゴロン太 (20,500) -19.0","NoName (-9,300) -59.0"
montecarlo,364a2253955bb4,"まこちむ (33,300) 43.0","白島翔 (31,700) 12.0","地下鉄くん (25,300) -15.0","NoName (9,700) -40.0"
shantenMCS,364a21c1937048,"ほっホモじゃない (33,400) 44.0","THE鮪ボーイ (33,100) 13.0","NoName (29,100) -11.0","じかん泥棒 (4,400) -46.0"
montecarlo,364a21a1e29256,"NoName (36,900) 47.0","fpdbb002 (26,900) 7.0","ぶんちぇらーら (26,200) -14.0","宮ちゃん (10,000) -40.0"
montecarlo,364a212fe668c4,"MY61 (52,800) 62.0","さいとうしんや (47,500) 28.0","タクシン6350 (1,700) -38.0","NoName (-2,000) -52.0"
montecarlo,364a24b4823ef4,"Web版 (31,500) 41.0","NoName (30,900) 11.0","JohnsonJ (24,000) -16.0","おっぱい成人 (13,600) -36.0"
montecarlo,364a2414025eb2,"パイン (32,800) 43.0","ぼよよん (25,400) 5.0","NoName (23,000) -17.0","ぱっさん (18,800) -31.0"
montecarlo,364a25e78b8070,"じゅん1975 (33,000) 42.0","goma* (28,900) 9.0","NoName (28,600) -11.0","MASARYO (9,500) -40.0"
montecarlo,364a25c175a968,"koorina (78,300) 89.0","坊やTetsu (18,000) -2.0","boo (17,400) -23.0","NoName (-13,700) -64.0"
shantenMCS,364a2778853188,"aochannn (35,000) 44.0","獄鬼 (30,000) 10.0","総統閣下です。 (21,500) -18.0","NoName (13,500) -36.0"
montecarlo,364a27c196245e,"ホッピーおじさん (35,700) 46.0","Tei1109 (28,200) 8.0","まるぼん (24,000) -16.0","NoName (12,100) -38.0"
montecarlo,364a278914cb1e,"Seriudo (45,000) 55.0","Satania1 (41,000) 21.0","エソ楽 (7,700) -32.0","NoName (6,300) -44.0"
shantenMCS,364a291d2bc874,"まこぽん (39,400) 49.0","momomom (35,600) 16.0","NoName (21,000) -19.0","MHRS (4,000) -46.0"
montecarlo,364a2797cb06b4,"tenaaaaa (31,600) 42.0","ラキッド (28,000) 8.0","ミズヒロクン (22,000) -18.0","NoName (18,400) -32.0"
